title,description,source,access,date,topic,division,lang,issue,tags
H2O Geomatics: Using Remote Sensing Technology to Improve Farmer’s Yields with NXT Farm,"Using Earth-Orbit data, NXT Farm web application notifies users of crop health conditions and offers variable rate fertilization plans. NXT Farm includes both NDVI and custom algorithms that parametrize crop nitrogen levels, water stress, and soil moisture. ",https://www.cengn.ca/h2o-geomatics-remote-sensing-to-improve-yields/ ,,16-Mar-20,AGRI,Agriculture,en,20-Nov,"cat, dog, horse"
"Mid-season Crop Classification Using Dual-, Compact-, and Full-Polarization in Preparation for the Radarsat Constellation Mission (RCM)",Comparing crop classification accuracy of varying polarized Synthetic Aperture Radar (SAR) data of Manitoba using pixel- and object-based random forest algorithms.,https://www.mdpi.com/2072-4292/11/13/1582/htm,,03-Jul-20,AGRI,Agriculture,en,20-Nov,horse
Convolutional Neural Networks May Allow Mapping of Every Tree on Earth,"Advancement in the use of CNNs to detect trees. Case study presented in West Africa. Though notably different than Canada’s geography, general techniques can still be applied.",https://cleantechnica.com/2020/10/20/convolutional-neural-networks-may-allow-mapping-of-every-tree-on-earth/,,20-Oct-20,EESD,Environment & Energy,en,20-Nov,"cat, horse"
iHabiMap,A multi-stakeholder large-scale environmental monitoring project based in Ireland that aims to use UAV imagery and machine-learning techniques.,https://jcresearch.wixsite.com/ihabimap,,01-Jan-20,EESD,Environment & Energy,en,20-Nov,cat
"Deep Science: Alzheimer’s screening, forest-mapping drones, machine learning in space, more",TechCrunch provides an overview of different advancements in the use of UAVs and space-based earth observation data to measure surface phenomenon.,https://techcrunch.com/2020/10/23/deep-science-alzheimers-screening-forest-mapping-drones-machine-learning-in-space-more/,,03-Oct-20,EESD,Environment & Energy,en,20-Nov,"cat, dog, horse"
"How mining companies can leverage geospatial, satellite data refinery",Introduction of the Descartes Lab Platform to access and utilize spaces-based earth observation data for mining advancements.,https://www.mining.com/how-mining-companies-can-leverage-geospatial-satellite-data-refinery/,,04-Oct-20,MMWTD,"Mining, Manufacturing, and Wholesale Trade",en,20-Nov,"cat, dog"
Remote sensing and visualization making it easier to virtually access critical project data,"As a result of COVID-19 restrictions, remote sensing has been rapidly perpetuated as a feasible substitute for site visits and high-definition laser scanning for anomaly detection.",https://www.jwnenergy.com/article/2020/5/20/remote-sensing-and-visualization-making-it-easier-/,,20-May-20,MMWTD,"Mining, Manufacturing, and Wholesale Trade",en,20-Nov,cat
Coal Quality Exploration Technology Based on an Incremental Multilayer Extreme Learning Machine and Remote Sensing Images,"Integrating spectral data with satellite imagery, the IM-ELM algorithm was proposed to improve capabilities of remote sensing and classification of coal and gangue images.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8636547,,06-Feb-19,MMWTD,"Mining, Manufacturing, and Wholesale Trade",en,20-Nov,"cat, dog, horse"
"Manufacturing industry agglomeration and spatial clustering: Evidence from Hebei Province, China","Using techniques such as local spatial autocorrelation and an industrial location quotient model, researchers identified the spatial clusters of various manufacturing industry regions.",https://link.springer.com/article/10.1007/s10668-019-00328-1,,15-Feb-19,MMWTD,"Mining, Manufacturing, and Wholesale Trade",en,20-Nov,"cat, horse"
"Geographic proximity, trade and economic growth: a spatial econometrics approach","A spatial model measuring bilateral trade flow and geographical distance investigates spatial relationships between a country and its trade partners, as well as neighbouring countries’ growth. ",https://www.tandfonline.com/doi/full/10.1080/19475683.2020.1714727,,21-Jan-20,MMWTD,"Mining, Manufacturing, and Wholesale Trade",en,20-Nov,"cat, dog"
